stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
1,,Shuttle Station,,37.6711107488,-112.1569204723,,0,
12,,Old Bryce Town,,37.6735670000,-112.1564570000,,0,
13,,Bryce Canyon Grand Hotel,,37.6744840000,-112.1540100000,,0,
14,,Ruby's Inn,,37.6734430000,-112.1567000000,,0,
15,,Ruby's Campground (SB),,37.6678080000,-112.1581950000,,0,
2,,Bryce Canyon Visitor Center (SB),,37.6399720000,-112.1694200000,,0,
3,,Sunset Campground (SB),,37.6221990000,-112.1721340000,,0,
4,,Bryce Point,,37.6041300000,-112.1569710000,,0,
5,,Inspiration Point,,37.6154430000,-112.1705970000,,0,
6,,Sunset Campground (NB),,37.6216980000,-112.1723410000,,0,
7,,Sunset Point,,37.6234240000,-112.1672490000,,0,
8,,Bryce Lodge,,37.6273240000,-112.1676270000,,0,
9,,Sunrise Point,,37.6308530000,-112.1644410000,,0,
10,,Bryce Canyon Visitor Center (NB),,37.6393910000,-112.1697100000,,0,
11,,Ruby's Campground (NB),,37.6676880000,-112.1579900000,,0,
25,,Shuttle Station Arrival,,37.6702449687,-112.1573586271,,0,
